id;start_date;end_date;language
1;2020-06-03T04:03:15;2020-06-03T01:53:30;SPANISH
2;2020-06-02T08:53:26;2020-06-03T03:57:51;SPANISH
3;2020-06-02T23:48:45;2020-06-02T10:22:54;FRENCH
4;2020-06-02T15:06:16;2020-06-03T02:37:42;FRENCH
5;2020-06-03T00:36:34;2020-06-03T05:23:33;FRENCH
6;2020-06-02T18:28:55;2020-06-03T06:37:09;FRENCH
7;2020-06-02T20:14:15;2020-06-02T14:05:06;FRENCH
8;2020-06-02T19:10:28;2020-06-03T05:26:36;SPANISH
9;2020-06-02T17:51:37;2020-06-02T14:33:00;SPANISH
10;2020-06-03T02:03:41;2020-06-02T12:38:11;SPANISH
